UniprotAccession,prediction
P56480,2592.453352222927
P63017,7.65849123980291
P07724,31333.83914577938
P02088,7.65849123980291
Q91Y97,4843.530704523087
Q9JHU4,72.72661299329461
O88569,1488.4358173312783
P01942,26197.981982043588
Q99KI0,1221.0945219186472
P63038,3016.315301073232
P20029,710.9596445789388
Q9DBM2,445.3003307669739
A2ARV4,232.7979476257362
P09103,562.4769929460397
Q8VDD5,1329.9959703981788
P45952,898.5538691992488
Q8BMS1,974.3651035993659
P99024,738.1307094007259
P28825,7.65849123980291
Q8K2B3,554.9282205047747
Q03265,2245.986217447692
Q05920,521.8462697638621
Q62261,476.3548643323812
P26041,1017.7466118391876
Q68FD5,7.65849123980291
Q8QZT1,1773.0417362176004
P40142,579.1225722378624
P16546,673.879529703179
Q61425,1482.565106333285
P14094,738.1307094007259
Q9EQ20,2166.343386147335
Q9QXD6,1383.1499389182725
P50516,397.7006765909119
P26039,457.8426408644445
Q8VDN2,1005.6769161166351
Q9DB77,859.7152826019416
P08249,1860.4615449177018
P11499,515.1063817122723
P00405,779.4788955965527
P58252,261.1357009236982
Q91VD9,270.4398584887716
P16125,3843.022652484801
Q80X90,168.46507189297395
P16460,2991.8877674730243
Q922D8,103.78047458441307
P24270,806.1296867395861
P27773,707.8610961408087
P10126,7.65849123980291
Q8BWT1,2303.9416264281267
P48036,968.7568694449578
Q62433,288.43731935407015
P00920,1616.5191464597315
Q8BG05,428.3915641347279
P08113,617.9074894305724
P52480,1357.3750177551321
P62737,826.5745036044259
P52760,545.1309882057702
P68372,907.2984814412912
Q91XE4,153.67826183789424
Q8BTM8,728.0258045484763
P97449,1067.8003078080635
Q9D964,3428.3536862332303
P14211,1270.4703028370668
P17182,7.65849123980291
Q9D0K2,124.70335704402491
P19096,19.863329700684112
P35505,215.95826050748596
Q8R0Y6,328.52802896934213
O88844,493.4548099685057
Q8K0L3,840.7604980447779
Q60597,312.40894894966476
P19783,625.5435939710117
P26040,954.351296636609
Q9JII6,905.7072308239021
Q9DBJ1,666.9507825100803
P49312,463.01807778936166
Q9DCY0,7.65849123980291
P13707,960.7512161256706
P16858,8266.607605662139
P51881,1096.169348796278
Q8VEK3,214.56256435596833
Q20BD0,103.13442839012016
P35700,2953.9283914789685
Q9JIL4,402.07005547204136
P09470,43.70268847856909
P05202,595.8203462713051
Q9DCW4,532.3480688441703
P23116,34.89277040409764
Q64727,892.2004920152922
Q9JKF1,83.31016811567629
P68368,480.06659435301316
Q9DC69,225.76450938755494
Q9CR68,499.4177594515293
P57780,3913.7050933706696
P07901,537.6078731343815
Q8BGK0,7.65849123980291
O35488,195.82867260674303
Q9Z2V4,251.87724751557428
Q71LX4,10.742113010496757
P12658,674.6498570632691
Q99JW2,933.5848245370989
P09405,157.69158360375158
P61979,545.8843414891224
Q8VC30,521.0967937279404
Q01853,410.0933744635786
P48962,426.9243189530685
Q8CHT0,1698.8387090132717
P62814,292.7763717798923
Q9JLB4,286.2708309433119
P97807,598.1014779975498
P14152,927.2046457938472
Q9CZ13,551.1578919959909
P09411,2498.242015831575
P63158,661.5672032152271
Q9CQN1,103.13442839012016
O88338,139.75233873812627
P70349,816.3456004825866
Q91YT0,216.65674542220776
P37040,33.580326399575945
P56382,396.97291453889386
Q9D051,261.1357009236982
P26443,262.56425885858295
Q8VIJ6,98.6276089284088
Q9NYQ2,79.5459610829921
Q63836,7.65849123980291
Q60928,0.21772146444371576
P06151,973.5643917302915
Q9WUM5,702.443148368179
P50544,472.64602977985646
P51660,96.7016236500597
Q99KP3,620.197329325326
Q9CQA3,437.94011342189015
Q61391,1094.5466870806376
Q62425,523.3444210518801
Q8CAQ8,266.8560785557869
Q61937,625.5435939710117
P00329,165.08739583796165
Q9CX86,70.88579510870942
Q9Z2I9,210.38269349172424
P51174,37.657172594003136
Q99LC3,210.38269349172424
Q9JHI5,342.53023447979604
P09671,2241.602767021067
Q99JY0,656.956242813723
Q91V76,889.8191080694995
Q01768,331.46937135438736
Q9QYB1,979.9772281034739
Q9DB20,388.9773817583391
Q9QXZ0,7.35292155353193
P54071,2039.2250600684622
Q9QZQ8,170.49642667734332
P28843,437.94011342189015
P35486,157.0216675583259
P11404,542.8729692061402
Q91ZA3,301.48034172704905
Q62468,141.07036310854284
P16406,229.28142653355587
Q9D172,245.49454788581195
Q9R0H0,134.49832529442872
Q91VA7,40.68672139536662
Q9Z2I0,54.70689798148292
Q6PB66,243.37203749879285
Q9CZU6,440.1466512413604
Q9QXN5,104.42722976560519
Q8BMF4,49.46376902599562
P11930,5.361928847218523
P62908,227.87363943449492
Q9CPY7,343.2695508800412
E9PVA8,3.593160066631296
Q99LC5,916.8473577622265
Q9DC50,0.41543899129469875
Q61598,369.4276641151202
P47199,1514.4654697240514
P43274,554.9282205047747
Q99MR8,110.9310743172155
Q8BHN3,204.82777561241772
P20108,1987.2302744170875
P29758,92.85164986358127
P48678,1449.9018065984528
P15864,494.9445702084228
Q60668,477.8391040493413
Q9DCJ5,227.1703460419374
Q9D826,125.35745945552253
Q9D8E6,151.67730005519167
P29699,175.24977007645055
Q8R164,418.1339483102084
P17225,208.99196742400872
P28665,7.65849123980291
Q9CR61,90.92880695580311
Q6IRU2,670.798879247013
Q9D855,163.73917054569068
Q91YQ5,146.35997704881203
Q921I1,1901.7563611919543
P10648,7.65849123980291
Q9Z1Q5,503.1482674512252
Q93092,378.10305663358935
P07758,7.65849123980291
P47738,1422.325073564333
Q8BL66,31.791569962616883
Q99NB1,39.84070992259905
Q3UNZ8,7.65849123980291
Q9CPQ1,448.9854595800602
Q8CIE6,56.47396749920171
Q9WVL0,48.887128894747306
Q9CQQ7,511.3661400213009
Q8VCM7,1020.1621642927264
P62259,1191.5708874987909
P35564,496.43499584493554
P62082,198.59687263397268
P48758,7.65849123980291
P51150,405.7149373772747
Q9QZD8,30.82380214252693
Q9CPP6,373.03969984223573
Q8CC88,16.349316490952845
Q99LB7,83.94050106550853
Q9R0P5,252.58763572029432
Q60932,1286.1499797809563
Q99MN9,337.36231717240446
Q9JKR6,55.29529104789676
Q921G7,126.66713180972432
Q02053,325.59029634178563
Q99L13,538.359731597473
P14824,713.2839122867017
Q60866,202.7500701214005
Q3TEA8,60.6173662028566
Q99PT1,576.8499381200211
Q99LX0,1220.272940427147
P55014,45.42784912435303
P14733,50.62068325384851
P41216,312.40894894966476
P62702,7.65849123980291
Q8BH95,2089.6255821286477
P56395,1144.986613154319
P97328,658.4927908639394
Q8CGK3,92.85164986358127
Q9CQ62,719.4870839934051
P08228,3987.320252170788
P52825,112.89495516989913
Q9R0P3,338.1000055889738
Q9DCS9,237.0198296891377
Q9D1A2,1589.4611516562784
P13745,7.65849123980291
Q61316,67.22946677919091
O55143,20.280529297164506
Q9CQR4,253.29862351280346
P63242,327.7931131713646
Q80XN0,71.49844211424168
P17742,2681.6709691414244
P70441,927.2046457938472
P63028,137.77868841708252
Q9ERS2,77.0537383475459
P11352,218.05433553565976
P48774,426.9243189530685
P08003,139.75233873812627
Q61001,205.52092235874233
P14148,7.65849123980291
O08749,573.8207693654506
Q99JI6,549.6504004553274
Q8C196,49.46376902599562
P97742,44.90894383699829
E9Q7G0,28.19700803262328
P62320,58.24333699566704
Q9QXY6,119.48198850634401
P10852,250.45677578490867
Q8K010,27.505263522039357
O88343,90.92880695580311
Q9ESD7,3.131293652768287
P70296,7.65849123980291
Q91XE0,930.3938738448168
Q8VCH0,392.60908766136026
P04919,258.9950937903353
Q7TMM9,342.53023447979604
P56391,284.82814699932754
P43275,116.8397154414269
P34914,170.49642667734332
P26043,373.03969984223573
Q8VCR7,576.8499381200211
P70404,40.63021055880761
Q6P5E4,26.341474852855978
Q7TMF3,155.68308218652342
Q9Z0X1,826.5745036044259
P63101,1054.8587504962115
Q8BH00,77.6754893322315
Q78PY7,42.90201223988687
Q9JLJ2,346.2282741932149
P61458,210.38269349172424
Q61838,7.65849123980291
Q9D0E1,122.74431153441041
Q91WD5,200.67529036038286
Q00623,2246.8634415464494
P53395,65.41425930372455
Q9CQZ5,141.7300002057534
Q8R404,45.89005136751233
Q922R8,296.3987102884117
Q922Q1,279.78585453510624
Q9D6Y7,147.68672830011548
P56399,34.29004763424746
Q8CG76,7.65849123980291
Q61033,7.227082095405326
O09131,615.6189815082494
Q9D0M3,324.12287691045145
Q91WV7,21.631486590301073
Q8BFZ3,276.9069405109389
Q9DCX2,1012.916493259113
Q61171,3080.657104568939
Q91V92,32.331660584042865
Q9CZN7,104.42722976560519
Q64331,95.42126414048666
O88428,2.9917598036338107
Q64475,274.0300633841973
P55302,55.8847771863681
Q9R1P4,159.03256789736704
Q9QXD1,51.7823402244174
Q9DBE0,-0.042381915195902176
Q64521,28.410539985985437
P06745,582.9132926399474
Q9WVK4,78.29807901153328
P06801,0.4167848923167876
P35550,32.927727508973014
P26231,80.17118638947788
P07356,2074.840519732473
Q9JIF7,29.267817834841242
Q99KR3,240.54602615968372
P84244,7.65849123980291
P99028,0.24126056566317855
P05064,7.65849123980291
P60335,288.43731935407015
Q91WT7,7.65849123980291
Q9D939,57.06269375205786
Q9WTP6,988.0006587870266
Q64442,618.6710773444562
Q8CGC7,18.572733703246456
P99029,568.5245846123355
Q9WTI7,105.72272190489836
Q64471,7.65849123980291
Q62189,25.002549745487638
O70250,69.66320551666342
O08709,1472.5067412507663
P02468,410.0933744635786
Q9DCM2,391.1562394831708
O88587,175.93041491180225
Q02013,451.1981180877115
Q7TPR4,537.6078731343815
Q60864,94.1374166796341
Q8BVI4,248.328353681888
P62751,7.65849123980291
P15532,223.65804166734262
Q9ESE1,4.327610415049512
O08788,41.933617186761246
Q3UQ44,87.74009284586391
P62897,7.65849123980291
E9PZF0,7.65849123980291
Q8BVE3,128.6227971291772
Q9D023,137.12176739896236
Q9Z2I8,539.1114535609275
Q91Z53,714.8344941869069
Q8BFR5,945.5589182790809
O88342,347.70892593418614
P27659,105.0746577093421
Q9JIX8,0.4547974040119478
P50518,429.1253012277346
Q9CQH3,158.3618900505786
P01027,790.4412189085552
Q8K4Z5,11.948670357613588
P57746,138.43613117776826
Q9EQH3,66.01832528534383
Q9D6R2,163.73917054569068
Q9D6J5,110.27770916848878
Q8VDJ3,9.654169055785808
P84078,289.15960250973336
O08638,330.7337233779509
Q8BJ64,211.77468685221248
P62918,102.48901349128035
Q7TNG8,66.01832528534383
Q9DBT9,245.49454788581195
Q91WS0,308.7600800387599
Q9CZX8,175.24977007645055
Q07417,166.4372789476411
O09173,258.2821283548269
P62754,7.65849123980291
Q64433,7.65849123980291
Q91YI0,147.0231257373653
Q9CQI6,491.96519473620714
P97823,91.56897889754939
O35737,184.12684770153842
Q3UIU2,199.28992651332484
Q9DB29,28.94573993896735
Q91VA0,0.2968117275448101
Q00898,7.65849123980291
Q3U1J4,45.081770600500704
Q6P4T2,7.01845071382275
P10493,506.13481321991367
Q99NB9,10.285483130185495
Q9Z1P6,85.8366498671784
P27661,120.13964186817861
P62821,298.57496548976496
P31428,593.5407195229748
A2AN08,0.4607468246940396
Q8CIB5,84.57174138048696
P50580,58.83527253614861
O35459,1628.374345356861
P10518,264.7090153736897
Q9CWS0,607.2340516249164
P59999,246.202611722546
P30275,1.5933850130465648
P45376,386.7997722324659
P17751,2100.068188899654
Q9WTP7,250.45677578490867
Q64462,-0.0472806206766927
Q91VR2,522.595384464875
O35129,476.3548643323812
P03930,39.72815646918901
P15626,7.65849123980291
Q9D1K2,7.65849123980291
Q9EQP2,55.29529104789676
P24369,881.0931317432568
Q5SW19,3.956868720107206
P46425,7.65849123980291
P50247,7.65849123980291
Q6ZWN5,319.7237876663978
Q9DBP5,103.78047458441307
Q9Z2D6,38.27064644620939
Q8R1G2,1097.7932074769653
P16331,191.68672241084573
Q3UZZ6,7.65849123980291
P05201,596.58063163284
Q60759,77.0537383475459
Q6P1B1,17.403480659096076
Q91V41,269.72240796899024
Q3V3R4,101.20022834737355
P23492,827.36176192756
Q99K48,86.47031203786429
Q9WVM8,-0.02837403034790098
O88851,40.23509869251535
P63030,68.44446099178387
P70290,6.198040270067421
B1ASE2,7.65849123980291
S4R1W1,7.65849123980291
Q9CQ75,171.85259552843863
P17710,35.002573184061056
Q02819,36.048928642115946
P43276,62.40862593581494
Q9D8N0,201.36667326302037
Q921H8,7.65849123980291
Q3V0K9,43.645410073672466
Q9D1G1,305.84524882223997
P10649,40.799766778860054
Q9QUI0,367.2619633003815
O09111,7.65849123980291
P32067,77.0537383475459
P55096,24.94931627533463
Q8K411,9.564756722441684
P07759,7.65849123980291
P80318,103.78047458441307
P25444,7.65849123980291
O55029,39.33473002482118
P16015,19.91536488147204
Q9DBL7,47.16454434977112
P51855,94.78152718515844
Q9DCT2,412.2844684565018
G3X922,2.316365338060893
Q64516,96.06111769830967
Q8BLF1,13.030823557612877
P15105,4.402581717487121
P08905,7.65849123980291
P48428,136.46516372198636
Q6PHN9,117.499403343592
Q9CWF2,355.7362011369621
Q9DBL1,721.0388438485865
P97494,7.8185188684528555
P80313,121.44086463879215
Q3TNA1,15.158213244596663
Q99MZ6,0.7380943709561416
Q9CYH2,171.85259552843863
P63260,7097.428222312904
P60710,5476.490807792386
Q8VHM5,39.95330462980268
P19324,135.80912780392507
O55060,83.31016811567629
